method,model,rho,dense,corpus,ppl,ppl_tokens,num_blocks,num_iter,target_matrices,target_achieved_compression_ratio,realised_linear_ratio,realised_total_ratio,compress_seconds,baseline,dtype,seed,gpu,requested_compression_ratio,dense_ppl,dense_ppl_tokens,ppl_increase,ppl_increase_percent,peak_cuda_allocated_mb,peak_cuda_reserved_mb,peak_cpu_rss_mb,peak_cpu_rss_increase_mb,model_load_seconds,reconstruction_seconds,artifact_load_seconds,inference_seconds,metric_seconds,dense_inference_seconds,total_seconds,artifact_storage_mb,static_parameter_storage_mb,total_model_storage_mb,artifact_bits_per_compressed_parameter,total_model_bits_per_parameter,layers_evaluated,matrices_evaluated,package_versions,last_updated,source
blast,facebook/opt-125m,0.33,False,c4,3797.7085510693937,524032,16,300,72,0.3302951388888889,0.5395862343345932,0.5458202511773941,138.1658574930625,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.33,26.560311449640277,524032,3771.1482396197534,14198.433805153396,852.1865234375,1442.0,2069.296875,1523.3125,0.3124811190646142,138.1658574930625,0.0,60.255642410949804,60.255642410949804,62.05996124900412,198.77381836506538,127.1484375,3.234375,130.3828125,16.0,16.0,12,72,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T14:06:48,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/opt-125m_rho33.json
blast,facebook/opt-125m,0.33,False,ptb,5645.944878202965,96209,16,300,72,0.3302951388888889,0.5395862343345932,0.5458202511773941,138.1658574930625,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.33,38.98557060970799,96209,5606.959307593257,14382.13990433948,852.1865234375,1442.0,2069.296875,1523.3125,0.3124811190646142,138.1658574930625,0.0,60.255642410949804,60.255642410949804,62.05996124900412,198.77381836506538,127.1484375,3.234375,130.3828125,16.0,16.0,12,72,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T14:06:48,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/opt-125m_rho33.json
blast,facebook/opt-125m,0.33,False,wikitext2,4874.6998103571805,286580,16,300,72,0.3302951388888889,0.5395862343345932,0.5458202511773941,138.1658574930625,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.33,27.650931930003416,286580,4847.048878427177,17529.42320605025,852.1865234375,1442.0,2069.296875,1523.3125,0.3124811190646142,138.1658574930625,0.0,60.255642410949804,60.255642410949804,62.05996124900412,198.77381836506538,127.1484375,3.234375,130.3828125,16.0,16.0,12,72,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T14:06:48,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/opt-125m_rho33.json
blast,facebook/opt-125m,0.6,False,c4,624.0515029907019,524032,16,300,72,0.5999710648148148,0.7249850805649493,0.7287087912087912,347.4167281429982,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.6,26.560311449640277,524032,597.4911915410617,2249.5639506108046,852.1865234375,1442.0,2073.3671875,1527.47265625,0.3098445899086073,347.4167281429982,0.0,60.9542364719091,60.9542364719091,62.05996124900412,408.7219712919323,170.8359375,3.234375,174.0703125,16.0,16.0,12,72,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T14:03:28,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/opt-125m_rho60.json
blast,facebook/opt-125m,0.6,False,ptb,1672.110753212962,96209,16,300,72,0.5999710648148148,0.7249850805649493,0.7287087912087912,347.4167281429982,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.6,38.98557060970799,96209,1633.125182603254,4189.050351353793,852.1865234375,1442.0,2073.3671875,1527.47265625,0.3098445899086073,347.4167281429982,0.0,60.9542364719091,60.9542364719091,62.05996124900412,408.7219712919323,170.8359375,3.234375,174.0703125,16.0,16.0,12,72,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T14:03:28,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/opt-125m_rho60.json
blast,facebook/opt-125m,0.6,False,wikitext2,1170.577253961802,286580,16,300,72,0.5999710648148148,0.7249850805649493,0.7287087912087912,347.4167281429982,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.6,27.650931930003416,286580,1142.9263220317985,4133.409770509884,852.1865234375,1442.0,2073.3671875,1527.47265625,0.3098445899086073,347.4167281429982,0.0,60.9542364719091,60.9542364719091,62.05996124900412,408.7219712919323,170.8359375,3.234375,174.0703125,16.0,16.0,12,72,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T14:03:28,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/opt-125m_rho60.json
blast,facebook/opt-125m,0.8,False,c4,45.125121908454204,524032,16,300,72,0.7999131944444444,0.8624428088323055,0.8643053375196232,532.9641295229085,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.8,14.008602256650748,515844,31.116519651803458,222.1243710237438,852.1865234375,1442.0,2073.859375,1527.671875,0.2819598170462996,532.9641295229085,0.0,60.25653022399638,60.25653022399638,153.39392862992827,593.5449025470298,203.2265625,3.234375,206.4609375,16.0,16.0,12,72,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T16:22:38,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/opt-125m_rho80.json
blast,facebook/opt-125m,0.8,False,ptb,67.76672288308392,96209,16,300,72,0.7999131944444444,0.8624428088323055,0.8643053375196232,532.9641295229085,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.8,17.58257439962961,94162,50.18414848345431,285.41979884647304,852.1865234375,1442.0,2073.859375,1527.671875,0.2819598170462996,532.9641295229085,0.0,60.25653022399638,60.25653022399638,153.39392862992827,593.5449025470298,203.2265625,3.234375,206.4609375,16.0,16.0,12,72,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T16:22:38,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/opt-125m_rho80.json
blast,facebook/opt-125m,0.8,False,wikitext2,60.91274251690172,286580,16,300,72,0.7999131944444444,0.8624428088323055,0.8643053375196232,532.9641295229085,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.8,9.74818145210467,288627,51.164561064797056,524.8626250565989,852.1865234375,1442.0,2073.859375,1527.671875,0.2819598170462996,532.9641295229085,0.0,60.25653022399638,60.25653022399638,153.39392862992827,593.5449025470298,203.2265625,3.234375,206.4609375,16.0,16.0,12,72,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T16:22:38,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/opt-125m_rho80.json
blast,facebook/opt-125m,,True,c4,26.560311449640277,524032,16,300,72,1.0,1.0,1.0,5.25300856679678e-06,BLAST,float16,42,NVIDIA GeForce RTX 4060,,26.560311449640277,524032,0.0,0.0,842.5615234375,1422.0,1553.53125,1007.58984375,0.28490015293937176,0.0,0.0,62.05996124900412,62.05996124900412,62.05996124900412,62.46359359694179,235.640625,3.234375,238.875,16.0,16.0,12,72,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T13:56:16,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/opt-125m_rho100.json
